ID,rating,roaster,name,type_espresso,type_organic,type_fair_trade,type_decaffeinated,type_best_value,type_pod_capsule,type_blend,type_estate,type_peaberry,type_barrel_aged,type_aged,location,origin,roast,review_date,agtron,aroma,acid,body,flavor,aftertaste,region,value_standard,blind_assessment_sentiment,notes_sentiment,bottom_line_sentiment
0,95,JBC Coffee Roasters,Wilton Benitez Geisha,0,0,0,0,0,0,0,1,0,0,0,"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",Medium-Light,11/1/2022,59/81,9,9,9,9,9,south_america,0.110231221,0.8832,0.9169,0.765
1,95,Bird Rock Coffee Roasters,Colombia Cerro Azul Geisha,0,0,0,0,0,0,0,1,0,0,0,"San Diego, California","Trujillo, Valle del Cauca Department, Colombia",Light,11/1/2022,62/80,9,9,9,9,9,south_america,0.260145682,0.8316,0.7506,0.4588
2,94,Regent Coffee,Yirgacheffe Mengesha Natural,0,0,0,0,1,0,0,1,0,0,0,"Glendale, California","Yirgacheffe growing region, southern Ethiopia",Medium-Light,11/1/2022,60/77,9,9,9,9,8,africa_arabia,0.060259734,0.7184,0.6908,0.3182
3,93,Regent Coffee,Colombia Tolima Finca El Mirador Washed Anaerobic,0,0,0,0,0,0,0,1,0,0,0,"Glendale, California","Tolima, Colombia",Medium-Light,11/1/2022,59/79,9,9,8,9,8,south_america,0.060259734,0.743,0.4939,0.7096
4,94,Theory Coffee Roasters,Panama Geisha Finca Debra Symbiosis,0,0,0,0,0,0,0,1,0,0,0,"Redding, California","Volcan growing region, western Panama",Light,11/1/2022,62/80,9,9,9,9,8,central_america,0.396832396,0.8176,0.4215,0.7269
5,94,Theory Coffee Roasters,Panama Geisha Finca Debra Echo,0,0,0,0,0,0,0,1,0,0,0,"Redding, California","Volcan growing region, western Panama",Light,11/1/2022,64/80,9,9,9,9,8,central_america,0.2,0.3182,-0.4588,0.5994
6,93,Theory Coffee Roasters,Panama Geisha Finca Debra Vivid,0,0,0,0,0,0,0,1,0,0,0,"Redding, California","Volcan growing region, western Panama",Light,11/1/2022,62/82,9,8,9,9,8,central_america,0.215,0.8689,-0.4588,0.836
7,95,Paradise Roasters,Ethiopia Hamasho Washed,0,0,0,0,0,0,0,0,0,0,0,"Minnesota, Minnesota","Bombe Mountains, Sidama Region, Ethiopia",Light,11/1/2022,62/81,9,9,9,9,9,africa_arabia,0.073487481,0.836,0.6369,0.4767
8,95,Paradise Roasters,Ethiopia Idido Anaerobic Natural,0,0,0,0,0,0,0,0,0,0,0,"Minneapolis, Minnesota","Yirgacheffe growing region, southern Ethiopia",Medium-Light,11/1/2022,61/80,9,9,9,9,9,africa_arabia,0.117579969,0.3818,0.875,0.743
9,94,SkyTop Coffee,Mexico Cup of Excellence #7,0,0,0,0,0,0,0,1,0,0,0,"Manlius, New York","Coatepec, Veracruz State, Mexico",Light,11/1/2022,62/80,9,9,9,9,8,other,0.117579969,0.8658,0.3612,0.8803
